"","X1","RTN","MMM","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.00942307692308,0.988342625443487,NA,0.731601731601732,0.29004329004329,0.898702420590229,0.109094469063047
"3",2009-01-06,0.995961538461538,1,NA,0.216450216450216,0.770562770562771,0.0640009369274693,0.931969601665202
"4",2009-01-07,0.978846153846154,0.981077884777834,NA,0.177489177489178,0.151515151515152,0.363925977592393,0.261448283141994
"5",2009-01-08,0.964807692307692,0.989694205102213,NA,0.194805194805195,0.735930735930736,0.0583860273706187,0.919908783979306
"6",2009-01-09,0.971538461538462,0.975502618685589,NA,0.67965367965368,0.229437229437229,0.883434954153507,0.08446260572103
"7",2009-01-12,0.971923076923077,0.964352086501098,NA,0.532467532467532,0.29004329004329,0.731178164995007,0.184902594212183
"8",2009-01-13,0.947884615384615,0.950329447541815,NA,0.103896103896104,0.229437229437229,0.111550563829436,0.567859100254695
"9",2009-01-14,0.979807692307692,0.929886805203582,NA,0.952380952380952,0.125541125541126,0.990026139740665,0.0338392111484497
"10",2009-01-15,0.999423076923077,0.932083122149012,"MMM",0.857142857142857,0.606060606060606,0.912423263657159,0.282918637249885
"11",2009-01-16,1.01288461538462,0.953201554316608,"MMM",0.805194805194805,0.874458874458874,0.54542397915734,0.817473293147152
"12",2009-01-20,0.989615384615385,0.910964689981416,"MMM",0.121212121212121,0.0303030303030303,0.616415950228754,0.0397956959973875
"13",2009-01-21,0.994423076923077,0.91637100861632,"MMM",0.640692640692641,0.683982683982684,0.532696470803971,0.64937402406568
"14",2009-01-22,0.991153846153846,0.913329954384187,"MMM",0.445887445887446,0.463203463203463,0.452549383810385,0.49600736836644
"15",2009-01-23,0.968846153846154,0.893732049332658,"MMM",0.121212121212121,0.125541125541126,0.277715948569638,0.298608949409735
"16",2009-01-26,0.968653846153846,0.904882581517148,"MMM",0.528138528138528,0.796536796536797,0.263739958089893,0.878779209232906
"17",2009-01-27,0.957307692307692,0.912147322182801,"MMM",0.277056277056277,0.727272727272727,0.10234019230824,0.899200508460543
"18",2009-01-28,0.955192307692308,0.936306808582531,"MMM",0.463203463203463,0.9004329004329,0.145159991070535,0.968341827309398
"19",2009-01-29,0.967307692307692,0.955397871262037,"MMM",0.796536796536797,0.87012987012987,0.536907716929216,0.817976996081472
"20",2009-01-30,0.973461538461538,0.908768373035986,"MMM",0.670995670995671,0.0173160173160173,0.920986379978093,0.00228242348880124
"21",2009-02-02,0.936346153846154,0.855212029058963,"MMM",0.0346320346320346,0.012987012987013,0.469836256096046,0.0666530981417443
"22",2009-02-03,0.929230769230769,0.872444669707721,"MMM",0.354978354978355,0.87012987012987,0.10664919482044,0.962273629821121
"23",2009-02-04,0.934615384615385,0.85892887312046,"MMM",0.662337662337662,0.216450216450216,0.87710369309839,0.080086250843456
"24",2009-02-05,0.943076923076923,0.870924142591654,"MMM",0.722943722943723,0.80952380952381,0.508023063210034,0.778367927356166
"25",2009-02-06,0.919230769230769,0.885115729008279,"MMM",0.103896103896104,0.835497835497836,0.0230982804949699,0.960171507509277
"26",2009-02-09,0.930961538461538,0.91417469167089,"MMM",0.796536796536797,0.956709956709957,0.310735730467635,0.967194548383185
"27",2009-02-10,0.900769230769231,0.862983612096638,"MMM",0.0476190476190476,0.012987012987013,0.549092077256438,0.0421644617133869
"28",2009-02-11,0.903461538461538,0.866531508700794,"MMM",0.597402597402597,0.649350649350649,0.501680994277268,0.636536494226021
"29",2009-02-12,0.896923076923077,0.844230444331813,"MMM",0.363636363636364,0.103896103896104,0.734790429923464,0.0582962975041308
"30",2009-02-13,0.898846153846154,0.834938334178071,"MMM",0.575757575757576,0.294372294372294,0.773433999812297,0.167993320118479
